company,requirement,have_python,have_r,have_matlab,have_java,have_scala,have_sas,have_spss,have_hadoop,have_jmp,have_tableau,have_sql,have_spark,have_excel,have_d3,have_ml,have_bigdata,have_cs,have_economics,have_supplychain,have_crm,challenging_job
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
    Quinnox Solutions SG ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
    Quinnox Solutions ," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
      Skyscanner ," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1
      BNP Paribas , Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
    Carousell , Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      The Advertiser ," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
      Rolls-Royce ," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
NA, Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Dell ," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0
